dfa_name,initial_states,alphabet_size,accept_state_count,algorithm,minimized_states,equivalence_group_count,state_reduction_count,state_reduction_percentage,avg_execution_time_seconds,min_execution_time_seconds,max_execution_time_seconds,same_as_moore,equivalence_groups,repetitions
DFA_01_Redundant_4_State,4,2,1,Moore,3,3,1,25.0,5.574340000293887e-05,2.6640999976734747e-05,0.00011121000000002823,True,"{q0} | {q1, q2} | {q3}",5
DFA_01_Redundant_4_State,4,2,1,Dynamic Programming,3,3,1,25.0,3.2334200000150304e-05,2.6246999993873033e-05,4.8813999967478594e-05,True,"{q0} | {q1, q2} | {q3}",5
DFA_01_Redundant_4_State,4,2,1,Divide and Conquer,3,3,1,25.0,4.701300000533593e-05,4.0296999998190586e-05,6.456199997728618e-05,True,"{q0} | {q1, q2} | {q3}",5
DFA_02_Even_Number_of_Zeros,2,2,1,Moore,2,2,0,0.0,1.5227000017148384e-05,1.1474000018552033e-05,2.4545000030684605e-05,True,{A} | {B},5
DFA_02_Even_Number_of_Zeros,2,2,1,Dynamic Programming,2,2,0,0.0,1.1695000000599976e-05,9.601999977348896e-06,1.49070000361462e-05,True,{A} | {B},5
DFA_02_Even_Number_of_Zeros,2,2,1,Divide and Conquer,2,2,0,0.0,1.1407799991047796e-05,1.0277999990648823e-05,1.3718000047902024e-05,True,{A} | {B},5
DFA_03_All_NonFinal_Equivalent,5,2,0,Moore,1,1,4,80.0,2.0112799984417506e-05,1.44530000056875e-05,2.982999995992941e-05,True,"{s0, s1, s2, s3, s4}",5
DFA_03_All_NonFinal_Equivalent,5,2,0,Dynamic Programming,1,1,4,80.0,4.919680000057269e-05,4.3090000019674335e-05,5.678299999090086e-05,True,"{s0, s1, s2, s3, s4}",5
DFA_03_All_NonFinal_Equivalent,5,2,0,Divide and Conquer,1,1,4,80.0,6.745260002389841e-05,6.20680000338325e-05,7.850800000142044e-05,True,"{s0, s1, s2, s3, s4}",5
DFA_04_Sink_State_With_Redundancy,6,2,2,Moore,4,4,2,33.33333333333333,4.567839999936041e-05,3.764699999919685e-05,6.121199999142846e-05,True,"{a} | {b, c} | {d} | {e, f}",5
DFA_04_Sink_State_With_Redundancy,6,2,2,Dynamic Programming,4,4,2,33.33333333333333,8.59530000070663e-05,5.707000002530549e-05,0.00017290699997829506,True,"{a} | {b, c} | {d} | {e, f}",5
DFA_04_Sink_State_With_Redundancy,6,2,2,Divide and Conquer,4,4,2,33.33333333333333,0.0001172849999875325,0.00010283699998581142,0.0001395819999743253,True,"{a} | {b, c} | {d} | {e, f}",5
DFA_05_Duplicate_Final_States,6,2,3,Moore,3,3,3,50.0,9.522219999098524e-05,4.9631000024419336e-05,0.0002124159999539188,True,"{p0} | {p1, p2} | {p3, p4, p5}",5
DFA_05_Duplicate_Final_States,6,2,3,Dynamic Programming,3,3,3,50.0,9.683099999620026e-05,9.161400004131792e-05,0.00010450899998204477,True,"{p0} | {p1, p2} | {p3, p4, p5}",5
DFA_05_Duplicate_Final_States,6,2,3,Divide and Conquer,3,3,3,50.0,0.00014870520000158648,0.00014078899999958594,0.00015605499999082895,True,"{p0} | {p1, p2} | {p3, p4, p5}",5
DFA_06_Ends_With_01_Expanded,7,2,2,Moore,3,3,4,57.14285714285714,0.0002818579999939175,7.380199997442105e-05,0.0009697320000441323,True,"{r0, r3, r5} | {r1, r4} | {r2, r6}",5
DFA_06_Ends_With_01_Expanded,7,2,2,Dynamic Programming,3,3,4,57.14285714285714,0.00011540019997937633,0.00010889800000768446,0.00012030199997070667,True,"{r0, r3, r5} | {r1, r4} | {r2, r6}",5
DFA_06_Ends_With_01_Expanded,7,2,2,Divide and Conquer,3,3,4,57.14285714285714,0.0001803166000172496,0.0001575840000214157,0.0002222960000040075,True,"{r0, r3, r5} | {r1, r4} | {r2, r6}",5
DFA_07_Modulo_3_Expanded,6,2,2,Moore,3,3,3,50.0,7.587779999767008e-05,4.80749999951513e-05,0.00015310300000237476,True,"{m0, m3} | {m1, m4} | {m2, m5}",5
DFA_07_Modulo_3_Expanded,6,2,2,Dynamic Programming,3,3,3,50.0,0.0004017907999923409,8.377599999676022e-05,0.0015599359999782791,True,"{m0, m3} | {m1, m4} | {m2, m5}",5
DFA_07_Modulo_3_Expanded,6,2,2,Divide and Conquer,3,3,3,50.0,0.00011819359999662993,8.932199995115297e-05,0.0002043570000296313,True,"{m0, m3} | {m1, m4} | {m2, m5}",5
